title,year,total_words_f,total_words_m,num_characters_f,num_characters_m,pct_words_f,pct_words_m,pct_chars_f,pct_chars_m,avg_male_words,avg_female_words,dominant_gender,actor_nom,actress_nom,actor_win,actress_win,actor_noms,actress_noms,actor_wins,actress_wins,df_type
frances,1982,15978.0,10906.0,4.0,18.0,0.5943312007141794,0.40566879928582056,0.18181818181818182,0.8181818181818182,605.8888888888889,3994.5,f,False,True,False,False,0,2,0,0,Acting
fried green tomatoes,1991,8796.0,1869.0,9.0,7.0,0.8247538677918425,0.17524613220815752,0.5625,0.4375,267.0,977.3333333333334,f,False,True,False,False,0,1,0,0,Acting
frostnixon,2008,492.0,13136.0,1.0,7.0,0.03610214264749046,0.9638978573525095,0.125,0.875,1876.5714285714287,492.0,m,True,False,False,False,1,0,0,0,Acting
frozen river,2008,9884.0,4134.0,4.0,7.0,0.7050934512769297,0.2949065487230703,0.36363636363636365,0.6363636363636364,590.5714285714286,2471.0,f,False,True,False,False,0,1,0,0,Acting
gandhi,1982,623.0,13387.0,2.0,17.0,0.04446823697359029,0.9555317630264097,0.10526315789473684,0.8947368421052632,787.4705882352941,311.5,m,True,False,True,False,1,0,1,0,Acting
gangs of new york,2002,1419.0,10005.0,2.0,13.0,0.12421218487394958,0.8757878151260504,0.13333333333333333,0.8666666666666667,769.6153846153846,709.5,m,True,False,False,False,1,0,0,0,Acting
ghost,1990,8604.0,11322.0,2.0,7.0,0.43179765130984643,0.5682023486901535,0.2222222222222222,0.7777777777777778,1617.4285714285713,4302.0,f,False,True,False,True,0,1,0,1,Acting
gladiator,2000,2778.0,15594.0,1.0,11.0,0.15120836054866102,0.848791639451339,0.08333333333333333,0.9166666666666666,1417.6363636363637,2778.0,f,True,False,True,False,2,0,1,0,Acting
glengarry glen ross,1992,0.0,22480.0,0.0,6.0,0.0,1.0,0.0,1.0,3746.6666666666665,0.0,m,True,False,False,False,1,0,0,0,Acting
gloria,1980,2212.0,2212.0,2.0,5.0,0.5,0.5,0.2857142857142857,0.7142857142857143,442.4,1106.0,f,False,True,False,False,0,1,0,0,Acting
glory,1989,643.0,7714.0,2.0,13.0,0.07694148617925092,0.9230585138207491,0.13333333333333333,0.8666666666666667,593.3846153846154,321.5,m,True,False,True,False,1,0,1,0,Acting
gods and monsters,1998,3648.0,19588.0,4.0,7.0,0.1569977620933035,0.8430022379066965,0.36363636363636365,0.6363636363636364,2798.285714285714,912.0,m,True,True,False,False,1,1,0,0,Acting
