title,year,total_words_f,total_words_m,num_characters_f,num_characters_m,pct_words_f,pct_words_m,pct_chars_f,pct_chars_m,avg_male_words,avg_female_words,dominant_gender,total_nominations,total_wins,nominated,df_type
american madness,1932,3448.0,19074.0,3.0,15.0,0.15309475179824172,0.8469052482017583,0.16666666666666666,0.8333333333333334,1271.6,1149.3333333333333,m,0,0,False,Other
american outlaws,2001,911.0,10438.0,2.0,12.0,0.08027138954974007,0.9197286104502599,0.14285714285714285,0.8571428571428571,869.8333333333334,455.5,m,0,0,False,Other
american pie,1999,4844.0,12612.0,8.0,8.0,0.2774977085242896,0.7225022914757103,0.5,0.5,1576.5,605.5,m,0,0,False,Other
american psycho,2000,3212.0,13962.0,7.0,7.0,0.18702690112961454,0.8129730988703855,0.5,0.5,1994.5714285714287,458.85714285714283,m,0,0,False,Other
american shaolin,1991,0.0,5133.0,0.0,8.0,0.0,1.0,0.0,1.0,641.625,0.0,m,0,0,False,Other
american sniper,2014,1183.0,2859.0,1.0,11.0,0.2926768926274122,0.7073231073725879,0.08333333333333333,0.9166666666666666,259.90909090909093,1183.0,f,5,1,True,Other
american splendor,2003,3472.0,15694.0,5.0,10.0,0.18115412710007306,0.8188458728999269,0.3333333333333333,0.6666666666666666,1569.4,694.4,m,1,0,True,Other
american ultra,2015,2966.0,5227.0,2.0,8.0,0.3620163554253631,0.6379836445746369,0.2,0.8,653.375,1483.0,f,0,0,False,Other
amlie,2001,3887.0,3093.0,6.0,8.0,0.5568767908309455,0.44312320916905446,0.42857142857142855,0.5714285714285714,386.625,647.8333333333334,f,5,0,True,Other
amour,2012,2294.0,4183.0,3.0,1.0,0.35417631619576967,0.6458236838042304,0.75,0.25,4183.0,764.6666666666666,m,4,1,True,Other
an affair to remember,1957,2474.0,2963.0,2.0,4.0,0.4550303476181718,0.5449696523818283,0.3333333333333333,0.6666666666666666,740.75,1237.0,f,4,0,True,Other
an american werewolf in london,1981,1298.0,5018.0,3.0,6.0,0.20550981633945536,0.7944901836605447,0.3333333333333333,0.6666666666666666,836.3333333333334,432.6666666666667,m,1,1,True,Other
an american werewolf in paris,1997,1899.0,7776.0,2.0,6.0,0.19627906976744186,0.8037209302325582,0.25,0.75,1296.0,949.5,m,0,0,False,Other
an education,2009,14330.0,6292.0,7.0,4.0,0.694888953544758,0.30511104645524195,0.6363636363636364,0.36363636363636365,1573.0,2047.142857142857,f,2,0,True,Other
an officer and a gentleman,1982,2671.0,8714.0,3.0,8.0,0.23460693895476503,0.765393061045235,0.2727272727272727,0.7272727272727273,1089.25,890.3333333333334,m,4,1,True,Other
an unmarried woman,1978,7443.0,2829.0,7.0,5.0,0.7245911214953271,0.2754088785046729,0.5833333333333334,0.4166666666666667,565.8,1063.2857142857142,f,2,0,True,Other
analyze that,2002,759.0,12083.0,1.0,13.0,0.05910294346674973,0.9408970565332503,0.07142857142857142,0.9285714285714286,929.4615384615385,759.0,m,0,0,False,Other
analyze this,1999,2292.0,26548.0,5.0,17.0,0.07947295423023579,0.9205270457697642,0.22727272727272727,0.7727272727272727,1561.6470588235295,458.4,m,0,0,False,Other
anastasia,1997,2148.0,3003.0,4.0,4.0,0.41700640652300525,0.5829935934769948,0.5,0.5,750.75,537.0,m,2,0,True,Other
anatomy of a murder,1959,2928.0,15297.0,3.0,12.0,0.16065843621399176,0.8393415637860082,0.2,0.8,1274.75,976.0,m,4,0,True,Other
anchorman the legend of ron burgundy,2004,2206.0,7864.0,2.0,8.0,0.21906653426017875,0.7809334657398213,0.2,0.8,983.0,1103.0,f,0,0,False,Other
angel eyes,2001,11438.0,8140.0,4.0,7.0,0.5842271937889468,0.4157728062110532,0.36363636363636365,0.6363636363636364,1162.857142857143,2859.5,f,0,0,False,Other
angels  demons,2009,2848.0,15272.0,3.0,13.0,0.15717439293598234,0.8428256070640177,0.1875,0.8125,1174.7692307692307,949.3333333333334,m,0,0,False,Other
anna karenina,2012,4819.0,6147.0,7.0,8.0,0.43944920663870146,0.5605507933612985,0.4666666666666667,0.5333333333333333,768.375,688.4285714285714,m,4,1,True,Other
annie hall,1977,4142.0,8994.0,4.0,5.0,0.3153166869671133,0.6846833130328868,0.4444444444444444,0.5555555555555556,1798.8,1035.5,m,3,3,True,Other
anonymous,2011,1434.0,9738.0,3.0,19.0,0.12835660580021482,0.8716433941997852,0.13636363636363635,0.8636363636363636,512.5263157894736,478.0,m,1,0,True,Other
another year,2010,8280.0,5715.0,3.0,7.0,0.5916398713826366,0.40836012861736337,0.3,0.7,816.4285714285714,2760.0,f,1,0,True,Other
